0	0	0	0	10	30	65	55	57	40	0	0	0	0	0	0	0
0	0	0	-10	-20	-30	-40	-50	-50	-40	-30	-20	-10	0	0	0	0
0	0	0	0	-10	-20	-30	-40	-60	-40	-30	-20	-10	0	0	0	0
0	0	0	-10	-20	-30	-40	-50	-66	-20	-10	0	0	0	0	0	0
0	0	0	0	0	-10	-20	-30	-46	-40	-10	0	0	20	30	20	10
0	-10	-20	-20	10	15	20	25	26	25	20	15	10	0	0	0	0
0	10	20	20	20	15	18	5	3	5	10	15	20	20	20	10	0
0	0	0	0	0	0	5	10	31	10	5	0	0	0	0	0	0
0	-5	-10	-15	-20	-30	-40	-45	-47	-20	0	10	5	0	0	0	0
0	0	0	10	20	30	35	40	42	40	35	30	20	10	5	0	0
10	20	30	25	20	15	10	5	4	20	30	40	50	60	50	40	20
-10	-20	-30	40	-26	-10	0	10	10	10	0	20	-30	-20	-10	-5	0
0	0	0	0	0	0	0	0	-3	0	10	20	30	20	10	0	0
0	0	0	0	0	0	0	10	21	30	40	30	20	10	0	0	0
0	0	0	0	0	-5	-10	-15	-18	-15	0	15	30	26	20	10	0
0	0	0	5	15	15	20	26	29	25	20	15	16	5	0	0	0
0	0	0	10	20	30	40	80	36	-30	30	40	50	60	70	40	20
20	40	50	60	60	65	60	46	44	40	36	30	26	20	15	10	5
-5	-15	-20	-26	-30	-35	-40	-46	48	-45	-40	-35	-30	-25	-20	-16	-5
10	20	30	40	50	70	10	-90	36	90	10	0	0	0	0	0	0
